comparison	gene	logFC	PValue	FDR	log2FC	pvalue	padj
ADR_B_vs_A_A1excluded_main	Wt1	-0.713036749374941	0.00247715454334622	0.0925297007178367	-0.707745833589683	0.00184450161912394	0.0497609308366594
ADR_B_vs_A_A1included_sens	Col4a1	1.16015570120801	4.98504189394364e-05	0.00559729410503254	1.16549217996906	5.90551179432692e-06	0.000723568070090394
ADR_B_vs_A_A1included_sens	Col4a2	1.42765083910786	6.36694295410809e-06	0.00142651356886792	1.43383547519178	1.20286423890733e-06	0.00023733917378856
ADR_B_vs_A_A1included_sens	Glp1r	1.46097521588864	0.0028977266816266	0.0590214239107673	1.46798674816961	0.000190201999537093	0.00875678478474865
ADR_B_vs_A_A1included_sens	Loxl1	1.47953534242869	9.36885542895682e-08	4.87740773141069e-05	1.48310464015857	3.45359040761413e-18	4.77003627844377e-15
ADR_B_vs_A_A1included_sens	Nlrp1b	-2.33199096726158	7.87309244993729e-05	0.00761424329528827	-2.33322201997848	7.49089271710017e-05	0.00468350341773263
ADR_B_vs_A_A1included_sens	Nphs1	-0.629246932379327	0.0273333243083331	0.232117421779483	-0.627624418010424	0.0164937018787836	0.126944687256514
ADR_B_vs_A_A1included_sens	Serpine1	1.8950759267023	3.46331918469556e-12	3.87978331665521e-09	1.90047771043696	1.44965910553668e-14	1.5731907707442e-11
ADR_B_vs_A_A1included_sens	Tmem215	2.90414830674576	9.06937792360923e-13	1.10836043115526e-09	2.90565089172193	1.70282343362967e-14	1.72473309514237e-11
ADR_B_vs_A_A1included_sens	Wt1	-0.612049333514356	0.0186776079554067	0.180635312046427	-0.611131480957064	0.00546061692406957	0.0683386762169597
A_ADR_vs_Ctrl_A1excluded_main	Col4a1	0.396047949801307	0.0796151631636891	0.799539510920453	0.361240493254884	0.131730365930612	0.713989380914895
A_ADR_vs_Ctrl_A1excluded_main	Col4a2	0.472433602554151	0.0587630402628088	0.678264052500682	0.436626768691723	0.115146886984111	0.683534662555568
A_ADR_vs_Ctrl_A1excluded_main	Loxl1	0.282275827741118	0.312519106574178	1	0.249216718992362	0.163139810128086	0.75607849424819
A_ADR_vs_Ctrl_A1excluded_main	Nlrp1b	0.0582736467759211	0.872917300825334	1	0.02676890479788	0.965552183445642	0.997344110938789
A_ADR_vs_Ctrl_A1excluded_main	Nphs1	-0.21991726061242	0.349538002597427	1	-0.25370268143649	0.330130227896871	0.871880130066727
A_ADR_vs_Ctrl_A1excluded_main	Serpine1	0.673666215810035	0.0133229918634308	0.266379214019821	0.641086544198041	0.0144146453139907	0.270920150698373
A_ADR_vs_Ctrl_A1excluded_main	Tmem215	0.158885713599906	0.696734369492553	1	0.126138635663746	0.755974204473137	0.972252122791688
A_ADR_vs_Ctrl_A1excluded_main	Wt1	-0.193965229874344	0.433107026615876	1	-0.225802714911354	0.320281482335493	0.866891703898804
A_ADR_vs_Ctrl_A1included_sens	Col4a1	0.188359340632326	0.500335124800961	1	0.17255482800098	0.502501046212501	0.944767738428845
A_ADR_vs_Ctrl_A1included_sens	Col4a2	0.241257149663779	0.427139624073966	1	0.224198335030182	0.447831824223513	0.931899806781908
A_ADR_vs_Ctrl_A1included_sens	Loxl1	0.159433965076606	0.58766665876521	1	0.146808839948566	0.398569628776425	0.916886858870131
A_ADR_vs_Ctrl_A1included_sens	Nlrp1b	-0.193799794396358	0.617897616775091	1	-0.210465580563622	0.711651467854845	0.973597853241122
A_ADR_vs_Ctrl_A1included_sens	Nphs1	-0.389437360211185	0.149706035342055	1	-0.401997822479237	0.124550191238066	0.724942861152949
A_ADR_vs_Ctrl_A1included_sens	Serpine1	0.598581109389175	0.0319441999736358	0.628679732916856	0.585565989255952	0.0180589798881703	0.308713780961192
A_ADR_vs_Ctrl_A1included_sens	Tmem215	0.313459228867385	0.436678688153316	1	0.306472009316144	0.426068584166502	0.92816643558441
A_ADR_vs_Ctrl_A1included_sens	Wt1	-0.306767814865095	0.252365544990449	1	-0.317286404240328	0.149010171561889	0.767563420937366
B_ADR_vs_Ctrl	Col4a1	1.00508951150528	4.12928669226694e-07	1.33924175972912e-05	0.996064249048597	3.35921690609241e-06	0.000105792937762537
B_ADR_vs_Ctrl	Col4a2	1.2611259797782	2.66115326439239e-09	1.34683199870735e-07	1.25262906445745	4.31520594184154e-07	1.81200292171195e-05
B_ADR_vs_Ctrl	Glp1r	-1.81612474795136	9.42811661875183e-07	2.81675601233655e-05	-1.82450589920772	3.28599654023228e-08	1.81556112936343e-06
B_ADR_vs_Ctrl	Loxl1	0.948359709679734	1.9578611012326e-05	0.000427858772781721	0.940814334715218	1.30815132465334e-09	1.04298849918353e-07
B_ADR_vs_Ctrl	Nphs1	-1.25154807612924	5.9687032615671e-09	2.83780819945117e-07	-1.25969796075592	6.45359935429048e-08	3.28698688406127e-06
B_ADR_vs_Ctrl	Serpine1	1.97319163967285	2.21731183432409e-30	1.33693824919587e-27	1.96550681971738	4.23538939194181e-17	1.7784870655585e-14
B_ADR_vs_Ctrl	Tmem215	-0.168626429549839	0.586703174174234	0.836335886352953	-0.178162219918594	0.611159151887157	0.812696299534871
B_ADR_vs_Ctrl	Wt1	-1.06372551346507	1.39196596288164e-10	8.87712908539659e-09	-1.07146213093628	1.35433761134113e-07	6.35026389674987e-06
