gene	logFC	logCPM	PValue	FDR
Snhg15	2.32891547072137	2.00594593187961	8.07759994863852e-09	3.75962678311193e-07
Acvr2b	-0.928023941125416	6.1175896022047	8.4199873877179e-09	3.90528436007266e-07
Plekha5	-0.912357122508365	6.3301509412399	9.25425125036807e-09	4.27726978523109e-07
Tnfrsf10b	1.77346636160889	3.57304890088684	9.35152524130244e-09	4.30722160853739e-07
Psat1	1.6803220571868	3.35432577138941	1.02978269882532e-08	4.7266669549889e-07
Socs2	1.23504420096058	5.10970268065339	1.06800406328455e-08	4.87262779219597e-07
Astn1	-1.35522156118011	5.04930774649185	1.06892927819753e-08	4.87262779219597e-07
Lrrc49	-1.45902080363469	6.15636150015332	1.09703448006469e-08	4.98361725275962e-07
Mrpl33	1.22026391974678	5.26255517947651	1.1229546614311e-08	5.08395685456777e-07
Man1a2	-1.017193925215	8.1485942104966	1.14026014825322e-08	5.14474519271394e-07
Klhl32	-1.65492044546123	3.29727955891915	1.25637239229896e-08	5.6494168758799e-07
Slc30a2	-1.1801883662562	5.06680037893333	1.3197717918682e-08	5.91445027673368e-07
Gpr182	0.94515325081268	6.1696517508092	1.33373440623094e-08	5.95689794567456e-07
Hmga1b	1.54601275015897	3.47136850185181	1.35673374742807e-08	6.03206525102721e-07
Ptpro	-1.10254550431947	9.69719369326569	1.35965888432502e-08	6.03206525102721e-07
Ly6e	1.2932928890148	7.4899850139197	1.39082007147442e-08	6.14974274936941e-07
Tapbp	1.01310887123446	8.05331407557707	1.44440035302508e-08	6.36543876507564e-07
Ier5l	1.02802465148921	5.00911808190201	1.49074420340709e-08	6.54792114509769e-07
Serpine2	0.896955701171466	9.47362767397618	1.51327059162709e-08	6.62492884420243e-07
Celf5	2.97198467643653	1.65054190171992	1.54123261586845e-08	6.72514823996547e-07
Ckap2	2.58693739657331	1.21903276114373	1.58438508250698e-08	6.89077643260823e-07
Creb3l2	-0.948235195206471	6.96544664404105	1.62005672667955e-08	7.02289296712555e-07
Cp	1.06378832968171	7.608156871687	1.64604122245611e-08	7.1122921224366e-07
C330020E22Rik	-1.05525878507451	6.84718210290133	1.71409793777099e-08	7.38230816380915e-07
Acer2	1.20039480958192	8.29162097635833	1.75711110308116e-08	7.54306756711056e-07
Clca3a1	2.51300374150489	2.6946837007598	1.93150753384971e-08	8.26498304403757e-07
