gene	logFC	logCPM	PValue	FDR
C1qtnf7	-1.41378068886526	6.05917412492334	2.26690076030279e-16	4.17644980353006e-14
Adamts9	2.31915359253592	6.16767522262067	2.34192024861238e-16	4.25555782162237e-14
Slc19a2	2.18536155141778	4.57917242085941	2.61376797995265e-16	4.68535571000972e-14
Rin1	2.35423895520999	3.85171806356363	4.00157642525779e-16	7.04814523964814e-14
Nxph3	-1.6361825293571	5.80414764354643	4.03813824510561e-16	7.04814523964814e-14
Shisal1	-3.07733074535049	4.13959724663191	4.1572182552337e-16	7.16175326697078e-14
Mgat5b	-3.20861041677671	3.13625550488179	4.59366450212777e-16	7.81217431034934e-14
Epha2	1.69126169322137	7.26429495866	4.87565221942329e-16	8.18677553046202e-14
Serpina3f	2.75882379588997	2.53039325066575	6.32843604907304e-16	1.04933380238692e-13
Tap1	2.10126555458479	6.00416821607402	6.96397052963182e-16	1.14045764290822e-13
Igtp	2.05527109785897	5.2263894666682	8.1587749826132e-16	1.31983109932151e-13
Serpina3i	2.4344207916186	3.13023055340827	1.532722180085e-15	2.44958550829247e-13
Bbc3	1.96893701870264	4.23681907581719	1.66356374409835e-15	2.59405655741968e-13
Pak1	-1.52950151762282	7.93696554889094	1.67631823631381e-15	2.59405655741968e-13
Tgtp1	2.62514215366498	3.87347791479275	1.68178563089403e-15	2.59405655741968e-13
Mgat4a	-1.48324043462525	6.43698490927154	2.04109323914961e-15	3.08021549320497e-13
Ifrd1	1.72467842858638	6.42456089456881	2.04341472598596e-15	3.08021549320497e-13
Rps27l	1.42718840600962	6.00729565740583	3.17776899834243e-15	4.73204848575946e-13
Mapt	-1.28075343918924	9.3169102211778	3.21058698619187e-15	4.73204848575946e-13
Gbp3	1.90300643348687	5.76429845200464	3.44238858000839e-15	5.01794335316608e-13
Pitpnm3	-1.57676580291612	5.42230875691212	3.70709989580589e-15	5.34507392585491e-13
Fosl1	4.46183133363638	0.263431664425119	3.81864263976419e-15	5.44669834585721e-13
Metrnl	-1.77725736243053	6.41733114873574	4.86611659151915e-15	6.86691878579804e-13
Peli3	-1.68797640451835	4.55676947302252	5.89128012404619e-15	8.22608745741818e-13
Cyp2s1	-2.13090538724305	5.29261424658667	7.197570571647e-15	9.94539308676015e-13
Kcnq4	3.41471742493601	2.09564402788115	8.71216800147265e-15	1.19141142824263e-12
Lfng	1.18204261183947	6.4338618727033	1.01722211388877e-14	1.37688278987087e-12
Gpihbp1	1.83185214989919	5.30409543095494	1.13163695279841e-14	1.51627920998696e-12
Prrg4	3.00260200494817	2.69486286779482	1.2374573532094e-14	1.64148717903226e-12
Fam81a	-1.36244386817261	5.92113554443669	1.40319418753063e-14	1.84290800966276e-12
Irgm2	1.76448740449483	5.7461864580813	1.45519909655677e-14	1.89011340889689e-12
Pnmal2	-1.34672505271855	5.52559198759475	1.46763423382118e-14	1.89011340889689e-12
Cd109	2.13753563116468	4.49988536528996	1.54631691702414e-14	1.9722974908005e-12
Dynll2	-1.24631368519431	8.80821126489749	1.58838443216374e-14	2.0066589993002e-12
Cd274	2.29544989446343	3.95876961392265	1.83174286322027e-14	2.29227066798272e-12
