gene	logFC	logCPM	PValue	FDR
Arl4c	0.989715040032456	6.40468190476211	0.000151791691650478	0.0140502184583974
Iigp1	1.40433797540981	4.79068632756675	0.000153716156942799	0.0141302252130384
Vash1	-0.930818836963051	7.52028134469059	0.000161102656728804	0.0147077898050564
Rassf2	-1.22359828854122	3.2319260885682	0.000165057699860526	0.0149663542955167
Sema6b	1.03061625138281	4.30792810490103	0.000182863879872005	0.0164688692892835
Gbp2b	1.36720868136565	4.91311740479342	0.000186050142670996	0.0166433714876625
Mt2	1.33162515489216	3.16632129023219	0.000198949815395797	0.0176786805960705
Ccdc117	-0.94830176267288	6.60494644035679	0.000215238994274906	0.0189994738721207
Lars2	0.955713025288267	8.9583058018354	0.00021756713522504	0.0190786338514116
Stip1	-1.07801557785538	7.94870577075546	0.000226573996996747	0.0197385935030695
Kcnj12	-1.05050405301103	3.97706434910357	0.000237159633922893	0.0205266283153133
Irgm2	1.27735670648533	4.82876780824861	0.000245916130924697	0.0211472007038406
Fgfbp1	0.844367726511121	6.79680107746561	0.000264715743975189	0.0226179240477262
A4galt	1.10526611908548	3.42609879486897	0.000272736205023358	0.023154782654499
Bcl2l1	0.852577097852882	7.79360192961743	0.000279538129094034	0.0235820488778125
Stx11	1.14665794479399	3.57892950094647	0.000290811005383519	0.0243162191445673
Gbp3	1.2447462535296	4.83029410788523	0.000291889493820299	0.0243162191445673
Nrg1	1.44714838693802	2.47402530467356	0.000309962151496288	0.0256614007285343
Hhipl1	1.94685015389715	0.272082250550479	0.000327745242468837	0.0269661502275748
Vcan	2.16465542956817	-0.386176090605718	0.000331299546752212	0.0270913598690812
Ifit1bl2	1.57186765130655	0.358588121438988	0.000341007889050836	0.027715208250967
Abca9	-1.21213429484336	6.51158674067786	0.000345547704389512	0.0279139718291382
Tgtp1	1.91943425133773	2.4288014161623	0.000351517922527906	0.0282251951167136
Negr1	-1.41414727864418	2.55545780612829	0.000353906915988428	0.028246857983292
Hlx	-0.80036634968941	5.74092847628102	0.000375332785576721	0.0297786351128102
Rps27l	0.97860689910452	6.19404038330003	0.000390539169730516	0.0308017549901659
Kirrel2	0.867192306862316	5.43020960141909	0.000392966156579208	0.0308108582414368
Lypd6	-0.935957850813365	4.55665538151292	0.000397219706662185	0.0309622308192998
Clec12b	1.57495397542812	0.969374065788743	0.000407744273814522	0.0315978106143824
Dnajb13	1.5901747712939	1.78587537554193	0.000429977776509363	0.0331281721566086
Tnfaip3	1.25367578433265	5.00590793709899	0.000434819156840491	0.0333086467903845
Rnd1	1.85174786158242	2.49164116587479	0.000443357659299912	0.0337314573781063
Cxadr	0.850222163424225	6.34725586730517	0.000445920784546563	0.0337314573781063
Rn7sk	1.19527267544956	3.21831992910603	0.000447930674163464	0.0337314573781063
Gbp2	1.3501562951081	5.03248604044816	0.000456513332262737	0.0341846416052248
Bax	0.865813252556951	6.20752446663354	0.000475212145593427	0.0353860485397474
S1pr1	0.792505930167315	7.37201699364673	0.000479398528028852	0.0354994610005365
Gm11127	1.16430664412353	4.17240319633752	0.000490277582673902	0.0359797139399113
Prrg4	1.76115135106911	1.72159566069311	0.000491282762177497	0.0359797139399113
Pard3b	-1.04919576696466	8.12921683812743	0.00050300782169547	0.0366371106851307
Rtn4rl2	1.28008555343067	1.5803908903625	0.000547052642617497	0.039628612355699
Rassf10	-1.06760590169119	5.35880507171192	0.000574811705230304	0.0414144065892688
Cyp1b1	0.951324574059827	4.93014847167232	0.000632621007277401	0.0453344376666692
Coch	1.20838425993001	2.03273256763747	0.000638761237331532	0.0455296712962138
Rprm	2.09190678315447	-0.144394623050476	0.000670840906787634	0.0472358034917752
Oasl2	0.910109348371223	5.00875014795561	0.000671787539151617	0.0472358034917752
Nog	1.28731555146495	1.37272346245841	0.000673329031693097	0.0472358034917752
Sele	2.08243367293583	1.62543635112845	0.00067846480862363	0.0473468975609653
Foxs1	1.30640235156062	1.67347995485299	0.000703992369277125	0.0488724702609104
Syt12	1.33826639501339	1.8329540111457	0.000712579273127033	0.0492122752927991
Pik3ip1	0.7986000587415	5.39153327786346	0.000739662706064741	0.0508194031398811
Nlrc5	2.13347756539103	2.66815631620691	0.000788954410701554	0.0539280684114924
Isg15	1.14185388172987	3.49671709418535	0.000804761466177845	0.0547278856259413
Vtcn1	-1.04035231485486	4.5239642953521	0.000815628863647867	0.0551853661094539
Lhfpl2	-0.960603973033584	3.17689593450343	0.000831636186077857	0.0559842359809684
Nfkbia	0.840422970725367	7.89252293471567	0.000868018125757856	0.0581397668252586
Cxcl1	1.2400074433728	3.2851234510848	0.000903252432423345	0.0601972583588538
Stat1	1.01167074976873	6.90480126437738	0.000929272167558045	0.0615096077216435
Snx31	-0.885334243213008	6.46850054633192	0.000932173513374746	0.0615096077216435
Rgs2	0.764196945689469	7.60134139546316	0.000950376956119248	0.0620167128976524
Lctl	-1.04041099314483	3.13810684262832	0.00095192572387921	0.0620167128976524
Thyn1	1.23272914627986	2.09452990502929	0.00095478893525997	0.0620167128976524
H2-Q6	-1.00948252024532	2.92784357708231	0.000958469716926731	0.0620167128976524
Gprasp1	-0.813582119565425	6.54161946571859	0.00100761719605876	0.0647893264892297
Tmtc2	-0.889119513899528	4.41752111141838	0.0010110420819086	0.0647893264892297
Adrb2	1.13345272188405	2.40950844440441	0.00102031674115581	0.0650708222146691
Lif	1.09849481552944	3.48722602137195	0.00103712650665322	0.065244692539446
Ccrl2	-0.724904848942106	6.19852769771458	0.00103728475738055	0.065244692539446
Mafb	-0.920429684366627	8.8139697951249	0.00103772787293589	0.065244692539446
Astn2	-0.904601220706722	5.81106018491427	0.00104374697220068	0.0653150394012341
Il33	1.26261126844732	3.01089882501389	0.00108540175302355	0.0676042989067801
Ank1	2.0062137645248	-0.406646029609979	0.00109559412344559	0.0679217398670058
Icam1	1.09841446558725	5.30862807701706	0.00111063520990154	0.0685354477443406
Mreg	1.71118293961864	1.50001342873958	0.0011766667178181	0.0722755330958409
Marveld1	-0.77213136717568	8.62245928070032	0.00118415765305371	0.0724020062273068
Vangl2	-0.712578614160367	5.66959744265883	0.00119853765950659	0.0726472718538544
Tuft1	0.789486317684667	5.1466592137378	0.00119906968323565	0.0726472718538544
Hspa4l	-0.950660065097658	6.18181429066299	0.00121034690626799	0.0729152611811534
Prss23	0.869756600387815	4.6467562801997	0.00121443378964784	0.0729152611811534
Sowahd	1.20952005943248	1.7455790350424	0.0012373907880564	0.0739604565650396
Myl3	-1.19016833075953	1.57489220213642	0.00124540652833812	0.0741072482866908
Hpd	1.45966059269581	3.83218099590566	0.00126130246418433	0.0747195579782796
Lpcat2	1.28578663383464	1.81729251269745	0.0012873488627165	0.0759251017307441
Tnfsf15	1.12455718055863	2.61756910824425	0.00132072795376067	0.0775505854435063
Vegfa	-0.840105632006592	10.1848658020928	0.00133124739388667	0.0778254233031378
Rgcc	1.30556665419558	0.442198670315678	0.00134395102588403	0.0780424360501261
Rrm1	0.731853830836137	5.63767246136198	0.00134666968951377	0.0780424360501261
F2r	0.791377889347324	8.83817072850296	0.00146880092612423	0.0847517209710384
Gem	0.864333513556931	4.20526625822081	0.00151021198555556	0.086765584290819
Folh1	0.926110202834379	5.10926575476263	0.00158055615538497	0.0904173089919581
H2-K1	0.958891515108951	8.11307194522393	0.00160744213727562	0.0910089765946896
Mdm2	0.757891068791775	6.65663298824634	0.00160822362433844	0.0910089765946896
Slc22a7	-2.2895780491009	1.17243321956902	0.00161138258506615	0.0910089765946896
Cacybp	-1.09613597202707	6.73831775385811	0.00162115938856769	0.0911748248532436
Bag3	-0.840748231147437	6.13980703259681	0.00165735606036632	0.0928189030614397
Hapln3	-1.13105321947666	2.50555273932817	0.00168569501006217	0.0937586788540726
Acot3	1.61609876870156	2.49420501383863	0.00169126730525714	0.0937586788540726
Nptx1	1.45106186482181	0.850994796542874	0.00169626626704271	0.0937586788540726
Lrtm2	1.00261100344317	3.58493166394808	0.00170614372543098	0.0937586788540726
Plin5	1.4262154638031	0.253096617581172	0.00170930744703576	0.0937586788540726
Xdh	0.87096466374829	5.82820573859395	0.00172895025715494	0.0944474507279435
D430020J02Rik	1.52903646463907	0.0135021547887908	0.00174509194316027	0.0949401245321765
9230114K14Rik	1.0517938375563	2.29371359383604	0.00181352987833952	0.0982623567007622
Snhg15	1.29942470011222	1.63580961044107	0.00188432927813838	0.101685121248204
Cnr2	-0.754078729456679	5.41053588648986	0.00198091228595279	0.105944669543406
Ddn	-0.983420208514396	9.11285141438423	0.00198531665746768	0.105944669543406
Aplnr	-1.01173708453781	2.53722051868829	0.00200075014314563	0.105944669543406
Adamtsl4	0.819732686239271	4.94479861634624	0.00200102602239475	0.105944669543406
Cdo1	0.822040570764472	4.8366379933863	0.00200300523107047	0.105944669543406
Gm4951	1.12075707916346	2.92200964232413	0.00203505066106605	0.107214190756321
H4c8	1.17893158250108	2.26775587919901	0.00207938870193522	0.109118787433443
Mtss2	-0.717725077420536	6.22047384343887	0.0020993227584358	0.10973283547918
Ucp2	0.760930399384823	8.53912320263887	0.00210813994354526	0.109763270732479
Usp18	0.85595546770349	3.64636560150034	0.00218935470003975	0.113548283256147
Mgmt	1.06490978086807	2.64933047776984	0.00231515249417971	0.119607238740005
Exoc4	0.746078323255342	6.31100871315466	0.00233659384175706	0.119952299160862
Pitpnm3	-0.990251317745819	5.46533198606859	0.00234518650994658	0.119952299160862
Gadd45g	0.840033461222745	5.73393512886463	0.00234882962570222	0.119952299160862
Tsc22d3	0.760251093132098	8.97835617695178	0.00235836045184869	0.119979337643859
Tppp	-0.839711827153745	5.03842974103926	0.00237615287429141	0.120424873237377
Gm14403	-0.945015675919551	3.75782031007408	0.00240622538190114	0.121487038315759
4930481A15Rik	1.16104719650384	2.00419590567864	0.00246188375248353	0.123346840297084
Atf7ip2	1.62869986698916	0.145147024375239	0.00246500307069658	0.123346840297084
Gm12185	1.15042487107597	1.9425551906083	0.00247205302837197	0.123346840297084
Usp46	-0.729445143579632	5.99334011390123	0.00248348668187704	0.123346840297084
Gm10499	0.939921445209081	4.56992120057089	0.00250141547493291	0.123346840297084
Tnfrsf10b	1.01751256100363	3.25008412276196	0.0025134053541481	0.123346840297084
Pidd1	1.14657524359079	1.89831217927785	0.00251609966583112	0.123346840297084
Syt15	-0.810099685630589	3.64997644311666	0.0025170935974797	0.123346840297084
Nrep	-0.706508974338781	5.8634008298821	0.00253364804703456	0.123703277724995
Qsox1	0.69448117644389	6.62368767673425	0.00259686611052704	0.126327110902244
Iqcd	1.19224570894451	0.793402937868557	0.00264476936153471	0.128189566617804
Rhbdf2	0.742254042257642	6.01863565166027	0.00270052381129022	0.130004579973068
Lrrc3b	-0.795585020005777	4.13191606375607	0.0027017232089834	0.130004579973068
Lipe	0.725477118884622	4.35893362529115	0.00272566520367095	0.130684861509821
Gbx1	-1.18541219577459	2.64807860081404	0.00276036851007009	0.131874379464961
Ifi207	1.18044261471915	1.48998822593131	0.00279623001729622	0.133110535359076
Mtmr4	-0.674007645095487	6.43756033263427	0.00282188250515497	0.133806732736395
Plekha7	0.788397644894285	4.64327122158275	0.00283525192857885	0.133806732736395
Uspl1	-0.737048995446021	5.49240079358504	0.00284677673715286	0.133806732736395
Wif1	-0.922760692639175	6.12005868202668	0.00285100998553051	0.133806732736395
Itga6	-0.66499857114536	6.66035796675071	0.00288145910377544	0.134761292611308
Lypd1	-1.526920364068	5.19994737695022	0.00291239845401767	0.135732024453152
Hbegf	-0.691432425038553	5.27102862625442	0.00295862611759897	0.137406019238595
Acer2	0.823484281202958	7.92654322393741	0.00300066768650492	0.137946016270179
Mpped2	-0.829780553388534	3.66064448135301	0.00300417016200873	0.137946016270179
Cacna2d2	-1.14463514087203	6.75260559424398	0.00301112752055904	0.137946016270179
Calca	-1.00536282048039	3.86443069616776	0.00301186666525096	0.137946016270179
Ephb1	-0.858332065969459	6.78304044228013	0.00302657512542026	0.137946016270179
Nuak2	0.676976140433204	5.7684255195838	0.00303468491387463	0.137946016270179
Galnt15	1.62914985562258	1.30746520069936	0.00304269853578159	0.137946016270179
Banp	-0.786341981566083	5.56544265290137	0.00306510513452108	0.13849080114587
Gbp5	1.09972357153205	2.82829886485798	0.0030816821825988	0.138769398013038
Ifi47	1.0262019823933	3.66799364996358	0.00310894163781127	0.139525532290863
Mir22hg	0.742123608700746	5.43978699809032	0.00319649018116883	0.142230047533105
Dctd	-0.970993662866469	2.93316497694805	0.00320096659825932	0.142230047533105
Gm13056	1.21422122090395	0.755540638278245	0.00321176491843277	0.142230047533105
Hap1	0.844581503711969	3.39083791222868	0.00321188718639541	0.142230047533105
Adam12	-0.867363759741869	4.38539026204355	0.00322306168300085	0.142252282028869
2900041M22Rik	1.19443316699256	0.69874220374327	0.00325622664215194	0.143241732386941
Ly6i	1.28305243817111	0.505524132652839	0.00330061346842738	0.144716700396936
Thsd7a	-1.09715797971163	9.22231529413981	0.00334173709635552	0.146039389368271
Map3k8	0.849963689318919	3.91626218371446	0.0033796698567026	0.147214442875781
Tmem252	1.41633167036359	4.74988759570514	0.00340577713993761	0.147868415303676
Cd83	-1.15563153893138	0.775951613819325	0.00343243444022117	0.148257126603834
Adamts9	0.859950290946083	5.16163156155285	0.00343697592621988	0.148257126603834
Irgm1	0.799289950414375	5.51928946866007	0.00354488488275768	0.152418614846055
Hmcn2	1.25207437664194	2.39517299127471	0.0035763031372937	0.153275062755588
Ahsa1	-0.767397553524079	7.04785998386074	0.00364027110920839	0.155516582098201
Ms4a6d	1.96001805243971	-0.603534974705922	0.00372176143756552	0.158413887053451
Slc43a3	0.68363694881767	7.90213047573718	0.0037318598945745	0.158413887053451
St8sia4	-0.725390724133285	4.88355711283109	0.0037696861065357	0.159511574965125
Cmklr1	-0.83883204273633	5.11875136549214	0.00382417179464573	0.161305018515294
P2rx1	-0.653534016580469	5.39052651401184	0.00384033518635584	0.16147579715753
Gprasp2	-0.906740628711856	3.45851696068049	0.00386722648269266	0.16209516285475
C1qtnf7	-0.743346033867277	6.3121071444316	0.00390720770789973	0.16325759103008
Mx2	0.968843320705432	2.36924370647364	0.00392170570446045	0.163351297921104
Lmo2	-0.612006416970859	6.21778878323941	0.00411176320103855	0.170734242076769
Foxc2	-0.703476542254019	7.20940534982661	0.00418828116951842	0.173371427666183
Sdc2	0.675894523567535	7.74584142942605	0.0042317170626227	0.174627110612068
Arc	0.872457869307875	3.84701146869881	0.00433877551633443	0.178492403880314
Oit3	1.36577912909879	0.200465404031207	0.00444654612257736	0.182121968018936
Gldc	1.21076284787949	5.54024646363055	0.00445432977523993	0.182121968018936
Man2a1	0.692890771596952	8.10078890903806	0.00455761856392703	0.185775222747961
Dnajb4	-0.744806439549837	6.40194865959648	0.00458238846884926	0.18580970765725
Serpinb6b	0.689390704814174	5.7503070740306	0.00458634509859969	0.18580970765725
Klf9	0.675484578327401	8.4296587606743	0.00462860066504593	0.186953388679992
Igtp	1.02435364353219	4.27162793890816	0.00468994921775326	0.188859012457502
Irs2	0.825937277387435	5.73827352989279	0.00476340147408597	0.191076289327815
Slc25a34	1.06595313684349	3.48472529398166	0.00478768527935043	0.191076289327815
H2-Aa	-0.992234355614455	2.60075050456369	0.00478801715323657	0.191076289327815
Cxcr4	-0.889146732675777	3.9406302024759	0.00484007003994226	0.192241616230893
Socs3	0.797995293704006	7.77903008697143	0.00484606369972092	0.192241616230893
