gene	baseMean	log2FC_interaction	lfcSE	stat	pvalue	padj
Gm805	1.47466052761946	-2.63726463275724	3.6515955323979	-0.722222548844401	0.470157662077596	NA
Tslp	47.1412616147209	-0.458478246295194	0.634892528326427	-0.722135205313787	0.47021135528237	0.866816427634812
Chst10	35.217342867684	-0.462296058448077	0.64022598850327	-0.722082618871564	0.470243683690131	NA
Pdxdc1	5274.66229630376	-0.103858642858726	0.143850982367682	-0.72198772055143	0.470302027149423	0.866816427634812
Manea	1951.90815273994	0.158034453008009	0.218898074476752	0.721954514153539	0.470322443377225	0.866816427634812
Grm5	3.90495360022325	2.41118255204484	3.33984673184701	0.721944072778275	0.470328863129691	NA
Lix1l	3632.63745354949	0.131306113822214	0.181882663934459	0.721927593217625	0.470338995485394	0.866816427634812
C4bp	33.8954889910716	-0.574124411019826	0.795419000110848	-0.721788655965997	0.470424424985447	NA
Pmp22	2960.52736121094	0.212645230052	0.294644097380237	0.721701985353476	0.470477721203012	0.866957492600105
Nanog	2.60585866686286	-2.22758594248673	3.08718524825099	-0.721558884018622	0.470565725568359	NA
Cct7	9244.62345827443	0.222483795617608	0.308362208524587	0.721501498780024	0.470601018857681	0.866983063373028
Slc39a9	3610.85054205944	-0.120223528536622	0.16664458977829	-0.721436733689174	0.47064085268728	0.866983063373028
Gm10556	1.0591457028156	4.52718942018178	6.27538948354733	0.721419671567965	0.470651347070621	NA
Prpf38b	5334.93718033576	0.106177717503157	0.147207233962813	0.721280569200687	0.470736909456237	0.866983063373028
Kdm4b	2888.19247889829	-0.141791507219969	0.196603224202246	-0.721206418639952	0.470782523251077	0.866983063373028
Mtfr2	16.700906847799	0.777366355915727	1.07789682069606	0.721188096105282	0.470793794753269	NA
Sema7a	11746.084003104	0.236298699828454	0.327703215332359	0.721075316849725	0.470863176623365	0.866983063373028
Setdb2	14.9512283982825	0.696287154633709	0.965624442286792	0.72107449246496	0.470863683806173	NA
Tmtc4	520.193286126014	-0.214700458906346	0.297760012140407	-0.721052022274587	0.470877508163987	0.866983063373028
Slc2a4	376.185222309468	0.385196282318487	0.534294876172192	0.720943245943361	0.4709444339022	0.866983063373028
Dusp1	35465.3809077977	0.268557208299936	0.372557674662144	0.720847338720049	0.47100344614552	0.866983063373028
Mrps12	628.432797997233	0.190972270409574	0.2649560442442	0.720769631635812	0.471051262734951	0.866983063373028
H3c1	1.71670409553715	-3.00727825137195	4.17412817523867	-0.720456613961071	0.471243903410091	NA
Nr0b1	2.74673997196097	-2.1159012483818	2.9372202986771	-0.720375400283999	0.471293891896415	NA
Gbp9	2955.50012401505	0.278469590235847	0.386579521442027	0.720342322317265	0.47131425282107	0.867352602010475
Hyal4	1.90075973986425	2.83642094722725	3.93885789745047	0.720112535428912	0.471455710018359	NA
D630013N20Rik	80.4987295071602	0.555489206213726	0.771401170195688	0.720104178831892	0.471460854794784	0.867405211346506
Ggt5	2764.900804359	-0.168891506093319	0.234556791237362	-0.720045261543535	0.47149712836613	0.867405211346506
Cdh23	78.006405526368	-0.374228900094139	0.519767626436056	-0.719992706471837	0.47152948621397	0.867405211346506
4933440M02Rik	2.38364376643755	-2.47203872468028	3.43463184033211	-0.719739069454748	0.471685666243309	NA
Gm8273	10.9925046404963	-0.796325784072406	1.10642521982206	-0.719728518300109	0.471692163860857	NA
Ndp	37.0766209486181	0.483880416791821	0.672310598709022	0.719727485660606	0.471692799784105	NA
Apoc1	8.79436501054679	1.09827574266249	1.5262162078063	0.71960691876093	0.471767050913554	NA
Aplnr	270.170279048248	-0.36160541566674	0.502508407501276	-0.719600727607371	0.4717708639096	0.867643299565701
Tsen2	423.911834050777	0.165222777381992	0.22963417667013	0.719504299307045	0.471830254183134	0.867643299565701
Ubb-ps	4227.40105900497	0.133212256654114	0.185160294758002	0.719442885032224	0.471868081436049	0.867643299565701
