gene	logFC	logCPM	PValue	FDR
Wfdc15b	-2.86711668273665	4.46796699656963	3.79133757491004e-06	0.000961640585273881
Rap1gap	-1.73461392646064	3.39156901396231	4.24628926009357e-06	0.00105709012080441
Atp6v1c2	-2.47764904094836	1.95682346272519	4.53439817370381e-06	0.00110828935725637
Sfrp1	-1.75535710903507	5.25580906985687	5.02700058235848e-06	0.00120674944336866
Slc26a4	-2.30318983472162	3.33408350686452	5.34372626451893e-06	0.00126027565217417
Cd109	1.9001638682685	4.57391001451617	5.66322271580044e-06	0.0013125983270432
Tmem45b	-2.49191500831635	1.50408099999006	6.27690043975235e-06	0.00142651356886792
Col4a2	1.42765083910786	9.50119318968042	6.36694295410809e-06	0.00142651356886792
Kcnj1	-1.88620909553885	5.00660830527923	7.03155168253817e-06	0.00154959261095673
Inpp5j	-1.94233288571846	2.63678247329723	7.15208653923473e-06	0.0015507338604344
Cdsn	2.09814230651884	1.35578767896569	7.37015756540066e-06	0.00157265124050287
Akap12	1.58259610222534	8.28161409333347	7.59555171289833e-06	0.0015937613644949
Maff	1.30875247708862	5.6468934479237	7.70620313115887e-06	0.0015937613644949
Golt1a	-2.89258537647407	0.96293495300231	9.71143339800145e-06	0.00197804241165657
Tmem52b	-2.28822225589166	5.9319461011316	1.01033385387132e-05	0.00202715193993914
Slc16a7	-1.44478380668089	4.45909172713984	1.03062090034881e-05	0.00203744658285133
Cyp2s1	-1.49408011147864	4.82245435520348	1.06730194060661e-05	0.00207016010090862
Tnfaip2	1.08187183081564	7.45561539873581	1.07796776808453e-05	0.00207016010090862
Plppr5	-1.46371045676985	3.21393463633049	1.25112965246469e-05	0.00236886421381447
Inmt	-1.96448957324998	6.38510480398574	1.37444307386593e-05	0.00256619975583051
Dnase1	-2.3682011355549	7.42065820090854	1.41041228906967e-05	0.00256934811959256
Flrt1	-1.31384769072438	4.85693017356213	1.41435513538532e-05	0.00256934811959256
Crct1	3.80482749019724	3.96270481287164	1.55589825588391e-05	0.00278879203384632
Proc	-2.07881098532375	4.04882766614284	1.60264710937706e-05	0.0028347875120205
Epha2	1.33882013979768	7.38230399332735	1.66650691650521e-05	0.00288954640988086
Cyp24a1	-2.22176086098754	4.850652947229	1.69324709339851e-05	0.00288954640988086
Gcgr	-1.9951411170297	2.75940895701502	1.71499343825814e-05	0.00288954640988086
Mogat2	-2.66023514432962	1.0944793065052	1.7315588464456e-05	0.00288954640988086
Tfap2b	-2.17957270197933	2.79043018837065	1.74107906866287e-05	0.00288954640988086
Sostdc1	-1.89819987318892	2.51744137270157	1.78263702738929e-05	0.00290795493002861
Blnk	-2.35330767482393	1.48248523604154	1.79599590914825e-05	0.00290795493002861
Xpnpep2	-1.7271048777256	2.53897857231536	1.81706623612589e-05	0.00290795493002861
Akr1c18	-2.5627146214793	3.76996778492017	1.90168120693924e-05	0.00300526793368783
Ube2ql1	-1.61456597102648	3.50310034829456	1.92258455922899e-05	0.00300526793368783
Gm3137	-2.8094528154268	-0.270387257854618	1.96830869117392e-05	0.00303359408471594
Anxa3	1.19541773967239	7.99035856956925	1.9858385736443e-05	0.00303359408471594
Atf3	1.24880896497495	5.08480902265029	2.07571022239803e-05	0.0031138187207399
Man2a1	1.11068051131356	9.04943792937763	2.0930871544133e-05	0.0031138187207399
Plk2	1.14122438125353	7.42940213882439	2.10784425788389e-05	0.0031138187207399
Ctps2	1.1895337732105	4.25074270806653	2.21126569362395e-05	0.00323109181732466
BC024386	-1.95741768734391	3.38036501547652	2.26217219484858e-05	0.00326993342100531
Opcml	-2.12239138259393	2.03817280933825	2.35605368496395e-05	0.00330343491476504
Rhbg	-2.82378186826608	2.10661443241731	2.35873259412671e-05	0.00330343491476504
Pgam2	-1.63537175340502	3.43069239497515	2.35906978961128e-05	0.00330343491476504
Atp6v1b1	-2.18966685520697	3.81629658784326	2.58652956466688e-05	0.00358460999358937
Dusp5	1.57276835405336	3.97442031123507	2.68135947737061e-05	0.00367811382186665
Phlda1	1.11503171434339	6.23347054125114	2.80227037263581e-05	0.0037972799224161
Scnn1b	-2.1221282180828	2.52291144975681	2.8247265658083e-05	0.0037972799224161
Trabd2b	-1.05971562781587	6.5638148165551	2.89328729465943e-05	0.00385093674278285
Clcnkb	-1.84358170107831	5.08177315372793	3.03694913530338e-05	0.00397586149265831
Esrrb	-1.98475070629963	2.37367588870158	3.04629720853832e-05	0.00397586149265831
Dbn1	1.06191413198987	6.06763050564788	3.07616042113938e-05	0.00397623312897853
Rin1	1.68003902883361	4.01343123008342	3.1460472753e-05	0.00402783938303409
Fblim1	1.05941562595241	4.90532571376618	3.31587168800073e-05	0.00420521350016922
Tmem116	-1.73864701722347	3.3410189252651	3.3544328729892e-05	0.00421435898239194
Kl	-1.84069141535196	6.68145920960315	3.99799904329099e-05	0.00497639825360747
Cyp2a4	-2.34102578495197	3.59990110427154	4.07745410011753e-05	0.00502873536402569
Lgals1	1.17323132756816	6.15652196485503	4.13435377436254e-05	0.00505255616261415
Car12	-1.06188219375726	6.31670412093468	4.31117387341178e-05	0.00522118111534005
Fxyd4	-2.45008198383929	1.63619754335825	4.41419119966078e-05	0.0052982118122357
Cldn4	-1.88650466710963	1.59895493677811	4.66578991969754e-05	0.00548461920280951
Slc39a5	-2.02286319450233	3.13931238997119	4.67677076046818e-05	0.00548461920280951
Slc4a9	-1.86112884395278	3.03058884992228	4.69189324051993e-05	0.00548461920280951
Kap	-2.41380063896298	10.2643246808317	4.73543402285669e-05	0.00548779651459159
Trpv5	-2.24047193899256	0.986640988297125	4.86826870784497e-05	0.00559351591791111
Col4a1	1.16015570120801	9.95372412166754	4.98504189394364e-05	0.00559729410503254
B3gnt7	-2.36746514160948	-0.145464949054226	4.98893513180643e-05	0.00559729410503254
Bsnd	-2.02972712178705	2.79489538251092	4.99646873914978e-05	0.00559729410503254
Socs2	1.17408310102453	5.15504690000876	5.09009035606437e-05	0.00565504831872506
Acss1	-1.48295375083236	6.04877368505534	5.18336449868593e-05	0.00567503654682599
Lhx1os	-2.48378490390237	0.790952295095469	5.19251279669417e-05	0.00567503654682599
Gprc5a	1.48978937746818	3.94881307549078	5.31679970464458e-05	0.00576401116367234
Abca13	-2.03152964710358	5.02039836075858	5.44842564286312e-05	0.00585945487336071
Treh	-1.76326162420292	3.44221915381121	5.57662583535407e-05	0.00593168345268702
Gatm	-1.79240465465086	7.44858398913557	5.60383692993566e-05	0.00593168345268702
Ccn1	1.1194192227652	8.96592349322201	6.04954380107912e-05	0.00635343885296146
Zdhhc23	-2.16886956273131	0.583095874055723	6.10216488683098e-05	0.00635902345532317
Mmp10	3.63698812640849	1.19256573417661	6.26177861349325e-05	0.00647516076162998
Gm32960	-2.580026147839	0.993772018051317	6.48066065679402e-05	0.00660994214215802
Kng2	-1.8543903231423	5.15029625373078	6.49369577648935e-05	0.00660994214215802
Cp	1.15867733060483	7.60482504632919	6.53962883959694e-05	0.00660994214215802
Slc34a3	-2.14235316730202	3.82632867040513	6.91203222966087e-05	0.00685950853922414
Tmem213	-2.36631177842988	3.06615660790511	6.9130631054847e-05	0.00685950853922414
Aspa	-1.7079145400289	4.26304369901875	6.93962033277158e-05	0.00685950853922414
Pank1	-0.997902957961538	5.64352095198803	7.54282142873617e-05	0.0073789001623641
Slc35f3	-1.65962471679415	1.97013604407463	7.57485845723607e-05	0.0073789001623641
Nlrp1b	-2.33199096726158	0.825346073625087	7.87309244993729e-05	0.00761424329528827
Rsad2	0.955751741594621	5.12269307352815	7.93522777202042e-05	0.00761951906709075
Rgs11	-1.84699184507951	0.776467532559639	8.18832476250295e-05	0.00775868759450281
Epha3	-1.41267390077914	3.38513406299716	8.19559353135014e-05	0.00775868759450281
