gene	logFC	logCPM	PValue	FDR
Irx2	-1.35122714091348	1.09947213208365	0.00149176982673904	0.110844349834353
Miox	-1.56259930422576	7.61903854019351	0.0014965332426058	0.110844349834353
Mdk	-1.05757111231389	4.50595465608968	0.00151429343611341	0.111533210400666
Ugt2b34	-2.13238422762793	2.3426018561607	0.001562246523201	0.114425878677122
Afm	-1.45187204820972	1.96173808974246	0.00158435756422417	0.11540425484382
Gsta3	-1.42440544940455	3.12074349106593	0.001615088312219	0.116996287408216
Cyp2f2	-1.66552938432492	-0.112929339060707	0.0016769252176928	0.12081192388012
Wfdc2	-1.31223561420338	3.77851392626903	0.00170130668283088	0.121691677561668
Ppp1r1a	-1.27391027849833	3.83222014886861	0.00170759711384319	0.121691677561668
Gm10639	-2.02408566666704	-0.0767770345762801	0.00177549879230179	0.125850409019929
Cyp2d26	-1.4867632186922	4.55983308161788	0.00188832618188977	0.133132044823715
Tmem132e	0.774816009257865	3.73281441926837	0.00190519516974238	0.133392307946821
Ttr	-1.74264805304236	3.32485966389434	0.00191225320099735	0.133392307946821
Plec	0.668811571151026	8.64682509583537	0.00192523122232874	0.133444203296154
Nrxn3	1.03259097026249	2.63665516313638	0.00193324050588329	0.133444203296154
Oxtr	0.881967607114178	2.67196835293148	0.00200680270707009	0.137800452552146
Mpp4	-1.43149066924707	-0.143068360881535	0.00205228195836722	0.139916355671829
Lilrb4a	1.36780871609334	0.329596246638161	0.00205884200548657	0.139916355671829
Tmem30b	-1.48343026362894	1.46901739058873	0.0020946749672484	0.140900975304598
Bsnd	-1.41134943615396	2.55712891804523	0.00209470503335112	0.140900975304598
Cxcl13	-0.771313018371527	4.68805523449786	0.00217406053748006	0.145496518406787
Dock2	1.12284441289616	1.31198646196203	0.00226759526066218	0.150930871452602
Coch	1.06073625000947	1.91412790117177	0.00228429471910834	0.150930871452602
Dbp	1.2312598474443	7.22980241410096	0.00229698241683554	0.150930871452602
Cltrn	-1.38225387862988	7.38843515487829	0.00230105469978557	0.150930871452602
Tlcd3b	1.21644897593181	0.589748903025512	0.00231274155665438	0.150946458826393
Srp54a	1.22581571604379	0.426238169210626	0.00237519601005277	0.154259035450915
Pdgfra	0.586567107016228	6.6586086558923	0.00244982809691107	0.158326145243508
Atp4a	-2.32016783561681	0.421010457651064	0.00247356740992739	0.158792145142691
Wnk4	-0.954017954771053	4.90777488360924	0.00248112726785455	0.158792145142691
Sipa1l2	0.56251152005654	7.97609932897078	0.00257386513556453	0.163746629100884
Enpp2	-1.08740659023626	5.94227857606021	0.00258338128435861	0.163746629100884
Rdh16	-1.27617302650787	3.8927361793125	0.00262524637201564	0.165604058223226
Cldn8	-1.36371807037002	2.52324454499853	0.0026444825794906	0.166023134895257
Fam149a	-0.848150355713785	4.17132041001633	0.00267766934265547	0.167128767362496
D630023F18Rik	-1.48649050221128	2.81687280173303	0.00268744680528285	0.167128767362496
Prelp	0.852637191361846	2.63186843820831	0.00275606239748159	0.170238420580993
Spp1	-0.890289631438554	6.84336551318993	0.00276327533406649	0.170238420580993
Gc	-1.45393134576105	2.44820259639818	0.00279698728312738	0.171042899222833
Phyh	-0.67002406218914	6.55617477848407	0.00280228050911194	0.171042899222833
Acaa1b	-1.4407215092684	4.4034446611657	0.00285271590645017	0.172115445669922
Gm12185	1.02824725498272	1.84469194107602	0.00285704670085668	0.172115445669922
Alox5ap	0.865898771049165	2.65325091196208	0.00285901718762992	0.172115445669922
Grik3	1.01495179615622	1.14465294261588	0.0028775408481013	0.172443175188034
Hid1	0.514886561518649	5.37731500917516	0.00293009876814362	0.174447472755696
Aard	-1.06382318218495	0.994762746020077	0.00293744985981223	0.174447472755696
Dnph1	-1.01253385598826	2.13482648530981	0.00296395937460794	0.175232468138256
Ms4a6c	1.18366978667131	1.18901388367038	0.00300749198733946	0.176923490432239
Csf2ra	0.852853506253684	3.49090827506738	0.00302385209238601	0.176923490432239
Pfkfb3	0.651122040400164	5.00198223659064	0.00303282075528565	0.176923490432239
Pik3cd	0.637007431395136	5.21107839203376	0.00304653262791749	0.176940467693675
Hck	1.112464797735	0.947124391576573	0.00306474911422697	0.177217773341966
Aatk	0.521200708636908	6.84237037343973	0.00309575248076841	0.177847540756426
Erdr1	0.761260071475963	4.72817874269925	0.00310261941550197	0.177847540756426
Vav1	1.1492748454277	0.521239019860801	0.00315290910883488	0.179947851475667
Endou	0.547566601327954	4.89214887583049	0.00320117417003473	0.181915001110939
Mal2	-1.51485352471248	1.8963023096183	0.00324705666585797	0.18373045099859
Gatm	-1.08352060284958	7.66135370797305	0.00329359597233418	0.185567390167751
Scn1b	0.480555216898582	6.11553554625156	0.00337105756268229	0.189123501729376
Ccr2	1.20261985145713	1.87402948123919	0.0033858482910615	0.18914840622608
Tmem213	-1.39962024250255	2.50339584956894	0.00343713470858729	0.190805430040893
Ces1d	-1.43222692658849	5.53633425330826	0.00344445482021637	0.190805430040893
Sgpp2	-1.29149061837045	1.92028441833151	0.00347779684617321	0.191846333137856
Fads6	-1.46183459713861	2.06919656117928	0.00356000594439299	0.192900137781653
Tpmt	-0.777026046843953	3.94882718618049	0.00358216228668524	0.192900137781653
Gjb1	-1.47433671142619	2.41005756877466	0.00358398381844859	0.192900137781653
Abcg2	-0.660657783434074	6.19327007735123	0.00359107005748423	0.192900137781653
Adk	-0.496252123054128	5.80758117178619	0.00359818774020822	0.192900137781653
Adcyap1r1	1.22915799842392	0.450451835686933	0.00359836556530318	0.192900137781653
Klk1b5	-1.50742214401235	0.627126387126737	0.00361313362509634	0.192900137781653
Psat1	-0.968205965516607	2.85503159693728	0.00361395130704401	0.192900137781653
Dpep1	-1.30515068683481	5.04945326773804	0.00363251212152339	0.193082144922704
Ldhb	-0.984380810339685	7.5493277452744	0.00364665155383444	0.193082144922704
