gene	logFC	logCPM	PValue	FDR
Apcdd1	-1.11838096487286	5.66974233258038	1.55407266160414e-08	3.42310404929339e-06
Slc10a6	2.02403722436511	2.28881595219741	1.72423040259849e-08	3.73564409848223e-06
Aldh1a1	2.17424709918944	3.06311717003766	1.99482837384585e-08	4.25220190141077e-06
Hhipl1	2.3745355027227	0.406298690927386	2.1785571854526e-08	4.57012885126056e-06
Smco3	-2.6348133950251	2.89540265079045	2.26917245293858e-08	4.68584111531817e-06
Iigp1	1.70704288655886	4.85258162605776	3.16388482751878e-08	6.43290798161357e-06
Dlk1	-1.42913904457903	5.54852339999479	4.78447455733823e-08	9.58054784087607e-06
Tgtp2	2.01598536369374	4.13709533352804	5.05194797750347e-08	9.96515589114714e-06
Acot1	2.03754571134273	4.01978976621597	7.07485653662482e-08	1.37501917629461e-05
Dnaja1	-1.60631374506469	8.86559690998385	7.45189483967394e-08	1.4273078579874e-05
Gpr68	3.12920304969893	-0.00625186832361072	8.68977366280403e-08	1.6406292675374e-05
Gpr182	1.01505928829323	5.84651585752863	9.92847178872298e-08	1.84809412901074e-05
Mybl1	1.55656677937222	3.43572707038006	1.33104549672641e-07	2.44320795621336e-05
Hsph1	-2.18635394739827	8.23511181064836	1.44646616610878e-07	2.61869819880735e-05
Ptprt	3.65772383753344	-0.449249032182817	1.50879428338454e-07	2.69462503367704e-05
Ifit3	1.33435229319709	4.57236744914147	1.63378438996034e-07	2.87894593302878e-05
Tap1	1.77803786902802	5.11083635853879	1.68227354351696e-07	2.92538515146318e-05
Sema6b	1.22348798199944	4.31750366301935	1.80745204494335e-07	3.10224496441185e-05
Acer2	1.05855221217621	7.97320858553709	1.85136531718878e-07	3.13687743999576e-05
Acot2	1.06476492606391	5.15079939011523	2.10446057795354e-07	3.52057607572582e-05
Olfml2b	-1.02365284171701	5.93988902945633	2.75565460374095e-07	4.55234140538005e-05
Lrrtm2	2.88726680745315	-0.348589434101982	3.28977145456083e-07	5.36760735104641e-05
Tiam1	-1.03862004962811	5.40719897133813	3.49752042718277e-07	5.63697926410336e-05
Irgm2	1.53943194097677	4.86986893170854	3.8201077999384e-07	6.08271622698625e-05
Irs2	1.09453284258325	5.8029034906068	3.88087389473915e-07	6.10590826105626e-05
Gm27252	1.91563982428684	1.60909619553301	4.02762580382839e-07	6.26224736745835e-05
Oasl2	1.10930125778398	5.03020606799356	4.15645872663724e-07	6.38741378270207e-05
Il33	1.58489073362009	3.08864833226767	4.37086696239923e-07	6.63969859483542e-05
