pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION	0.241258741258741	0.554208247268746	0.114266502484433	0.585942098111739	1.19737780104512	6	Zfhx3;Smad4;Trp53;Smad3;Runx3
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL	0.241895261845387	0.55468345122983	0.139599673451922	-0.397799851271567	-1.1776001567215	17	Kcnj12;Kcnk10;Kcnj2;Kcnk6;Kcnk3;Kcnk15
REACTOME_SIGNALING_BY_PDGF	0.242331288343558	0.554698037680024	0.105520936843198	0.318530696672812	1.13578210276007	53	Col5a3;Stat3;Plcg1;Pdgfra;Col5a1;Col9a1;Plg;Col4a2;Col6a3;Col4a1
REACTOME_IRS_MEDIATED_SIGNALLING	0.243710691823899	0.556587823558253	0.106729884364606	0.360270503274335	1.16421076691301	33	Irs2;Fgf7;Klb;Trib3;Pik3cb;Gab1;Flt3l;Fgfr1;Fgfr3;Pik3r4;Fgf18;Pik3c3;Fgf5;Pik3r1;Frs2
REACTOME_PYROPTOSIS	0.244019138755981	0.556587823558253	0.107554375265169	0.409340892877833	1.19831611987901	21	Bax;Casp4;Gsdmd
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.244565217391304	0.556625467088244	0.14551614609036	-0.300852854988008	-1.13196206173389	43	Dynll2;Dynll1;Tubb2a;Tuba1c;Tubb2b;Ift20;Kif3a;Tuba1b;Tubb4a;Tuba4a;Tubb1;Kif17;Dynlrb1;Tubb4b
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.244897959183673	0.556625467088244	0.151148761385484	-0.277225995567774	-1.1359635097108	63	Ncbp2;Snrpg;Rbm8a;Slbp;Snrpd3;Srsf9;Ncbp1;Cpsf6;Magoh;Clp1;Magohb;Srsf7;Srsf3;Snrpe;Fip1l1;Srsf1;Upf3b;Sarnp;Nudt21;Thoc1;Cstf2t;Thoc7;Snrpb;Cstf2;Thoc3;Chtop;Zfp473;Sympk;Papola;Zc3h11a;Alyref;Lsm11
REACTOME_G_PROTEIN_MEDIATED_EVENTS	0.246684350132626	0.558350186398967	0.142901149386948	-0.304179156017275	-1.1148339197851	39	Camkk1;Calm3;Calm2;Grk2;Gna11;Gna14;Prkaca;Adcy7;Adcy9;Calm1;Plcb1
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.246688741721854	0.558350186398967	0.109250039480711	0.50119432047041	1.20006583680942	10	Fos;Mapk8;Jun;Mapk10
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.247126436781609	0.558350186398967	0.149207542435322	-0.287322130763806	-1.12652403169708	54	Sort1;Tpd52;Hspa8;Ap1s2;Txndc5;Clta;Snx5;Sh3d19;Vamp8;Fth1;Bloc1s1;Snx9;Ap1s1;Tfrc
REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE	0.247877758913413	0.558350186398967	0.110564716336619	0.540410656832252	1.20558060577564	8	Tdg;Neil2;Mbd4;Neil1
REACTOME_GLYCINE_DEGRADATION	0.248210023866348	0.558350186398967	0.134273452883202	-0.540680083084663	-1.20241062361856	7	Gcsh;Mrps36;Amt;Dlst;Dld
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	0.248251748251748	0.558350186398967	0.112378519110475	0.584408700362333	1.19424428933598	6	Cyp1b1;Cyp1a2;Cyp1a1
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.25	0.560329861111111	0.147331213699377	-0.288277182489455	-1.12343523969948	52	Calca;Pth1r;Gng11;Gnas;Gng4;Gng5;Gng10;Ucn2;Calcrl;Gng8;Ramp1;Ghrhr;Gng12
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.25	0.560329861111111	0.109684061970549	0.483943573717001	1.18780444956143	12	Pde2a;Pde9a;Nos3
REACTOME_G0_AND_EARLY_G1	0.251870324189526	0.563543480985578	0.136490437780413	-0.395604391983658	-1.17110097580614	17	Tfdp1;Ccne1;E2f5;Ccne2;Lin52;Rbbp4;Lin37
REACTOME_G2_PHASE	0.252847380410023	0.56475080987775	0.129442887745046	-0.608633694738415	-1.21522982792192	5	E2f3;E2f1
REACTOME_LEUKOTRIENE_RECEPTORS	0.253996447602131	0.566337502339122	0.111918316325105	0.627778547559204	1.22202076017207	5	Cysltr1;Gpr17;Ltb4r1
REACTOME_GLYCOGEN_SYNTHESIS	0.255125284738041	0.567873694132433	0.128788713061714	-0.607494543353071	-1.21295533876044	5	Ugp2;Ppp1r3c;Gbe1;Pgm1
REACTOME_GAP_JUNCTION_ASSEMBLY	0.256756756756757	0.570106344628695	0.141225119642531	-0.330578408455561	-1.13631330304166	30	Gja3;Tubb2a;Tuba1c;Tubb2b;Tuba1b;Tubb4a;Tuba4a;Tubb1;Gjc1;Tubb4b
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.257142857142857	0.570106344628695	0.107554375265169	0.456150527166849	1.17877478930485	14	Grm1;Gabbr2;Grm5;Gabbr1;Tas1r3;Grm3
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	0.257894736842105	0.570106344628695	0.13880510939114	-0.342945511288023	-1.15100306137635	27	Polr1e;Kat2a;Polr2h;Polr2f;Polr2e;Polr2k;Taf1a;Baz1b;Taf1d
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	0.257894736842105	0.570106344628695	0.13880510939114	-0.342923755262414	-1.15093004321091	27	Polr1e;Gtf2h5;Gtf2h2;Ubtf;Polr2h;Polr2f;Polr2e;Polr2k;Taf1a;Taf1d;Ccnh;Gtf2h4;Gtf2h1;Ercc2;Ercc3;Ttf1
REACTOME_INTERLEUKIN_35_SIGNALLING	0.258764607679466	0.571051467545625	0.106729884364606	0.51680942015543	1.19531228375789	9	Stat3;Il6st;Jak2
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.262560777957861	0.578199230669418	0.103958471559957	0.412472813762109	1.18314160976349	19	Syt1;Cplx1;Slc6a11;Gad2;Dnajc5;Slc6a1
REACTOME_HYALURONAN_DEGRADATION	0.262899262899263	0.578199230669418	0.132147260608774	-0.40107776896384	-1.15705463069251	15	Hyal3;Hexa;Lyve1;Gusb;Hmmr;Hexb
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.264285714285714	0.579088121735181	0.161978948883402	-0.236847539336694	-1.06665281383771	110	Pitpnm3;Pla2g5;Pld6;Slc44a2;Cpne7;Tmem86b;Phospho1;Lpin2;Osbpl5;Plaat3;Gpd1l;Selenoi;Ptdss2;Plbd1;Pcyt2;Lpcat1;Mgll;Abhd3;Pnpla8;Pctp;Agpat5;Csnk2b;Crls1;Pla2g12a;Pemt;Pcyt1b;Gpat4;Chpt1;Cept1
