rank_position	gene	stat
211	Cyth3	3.55362666107742
212	Anxa1	3.55156723595398
213	Pgm2	3.54962728487683
214	Adamts4	3.54729955555195
215	Cilp2	3.54419768874554
216	Ier5l	3.54105472466322
217	Coro1c	3.54063671298907
218	Tbcc	3.53213711834318
219	Shisa4	3.53153323589079
220	Mafk	3.52822789367396
221	Fads3	3.52205137386625
222	Calu	3.51835678080671
223	Eif4ebp1	3.51361859779652
224	Naip2	3.51325531103443
225	Sqstm1	3.51270229551491
226	Ch25h	3.51118378532961
227	Pald1	3.50928742757071
228	F3	3.50883181580772
229	Fez2	3.50112380484046
230	Runx1	3.49002348746057
231	Add2	3.48345967554155
232	Rars	3.47975818213057
233	Zfp580	3.47955004514704
234	Resf1	3.47863411874108
235	Cadm4	3.47199005374008
236	Scn1b	3.4683608785201
237	Atg9b	3.46066914162541
238	Ier5	3.45980467859094
239	Steap4	3.45564594142435
240	Mmp2	3.45487876496934
241	Gipc1	3.45423500755051
242	Gja5	3.45421331027239
243	Mfsd5	3.44913617929214
244	H2-D1	3.44776782635681
245	Tpm1	3.44487975222023
246	H3f3b	3.43832444757821
247	Rab31	3.43617925850695
248	Phlda1	3.42425215152812
249	Calca	3.42301054831206
250	Hnrnpab	3.4225209929101
251	Retnlg	3.41957889127105
252	Ehd4	3.41667315382065
253	Gadd45b	3.40834687361647
254	Slamf9	3.4074412680668
255	Dapk3	3.40523031258693
256	Mgat4b	3.40476083690608
257	Sparc	3.40063552193405
258	Capzb	3.39733051544033
259	Lrp8	3.39712607316364
260	Ntrk2	3.39674973819898
261	Ramp3	3.39649915107034
262	Loxl2	3.39531290569893
263	H2-K2	3.39477226831199
264	Maff	3.39292200381912
265	Eln	3.3927553676195
266	Il2rg	3.38948148938598
267	Plekho1	3.38898063659575
268	S100a6	3.38835981428304
269	Zc3h12a	3.38051623129439
270	Efhd2	3.38025284261751
271	Aldh1a1	3.37740254998464
272	Col1a1	3.37342796045007
273	Mex3a	3.3733584276547
274	Syt11	3.36338290000988
275	Znrf1	3.36328404592793
276	Mvp	3.36226493716317
277	Slco2b1	3.35603922717789
278	Sh3bp5	3.35149587809274
279	Bak1	3.35031649184461
280	Ssu2	3.3481785972901
281	Ulbp1	3.34752474668149
282	Nes	3.34711731632223
283	Csnk1e	3.34423852996081
284	Usp18	3.34091937298632
285	Snx10	3.33704660095948
286	Crlf2	3.33680068961874
287	Nrm	3.33658546495924
288	Bmyc	3.33587598095212
289	Timp1	3.3299849337648
290	Txndc12	3.32799044243491
291	Dram1	3.32217713400414
292	Sqle	3.31483641141997
293	Atp13a3	3.31217256104911
294	Slc39a7	3.31154470088785
295	H2-K1	3.30992280395088
296	Snrpa1	3.29990352265351
297	Tlnrd1	3.29949390200132
298	Clec7a	3.29908193121592
299	Cnn3	3.29857470228022
300	Rgs17	3.29707547386115
301	Il3ra	3.29665161287531
302	Yars	3.29068667540174
303	Ppp1r18	3.28395936086564
304	Ptgs2	3.28128177156844
305	Crip1	3.27665141821816
306	Vps26c	3.27052813962701
307	Gm10499	3.27025952146614
308	Kcnq4	3.26364728967152
309	Slfn4	3.2629373935306
310	Dusp5	3.26131776702127
311	Acot7	3.25668956838166
312	Abcg1	3.24873880309241
313	Carhsp1	3.24119484724335
314	Anxa2	3.24100318670683
315	Rnd1	3.23889280825388
316	S1pr3	3.23449805398342
317	Rras2	3.23148633199457
318	Cd9	3.23017891552445
319	Picalm	3.22901553667612
