rank_position	gene	stat
407	Nfkbib	4.41857091523519
408	Dusp6	4.41818151852915
409	Vopp1	4.41503603819024
410	Bcl3	4.41436669558802
411	Tuba1a	4.41037046171408
412	Sema3f	4.40826556682101
413	Mir22hg	4.40713446002291
414	Znrf1	4.40440397156118
415	Snhg1	4.40096087359242
416	Plaa	4.40047025247558
417	Spaar	4.39363597672457
418	Ly6i	4.39257855596005
419	Atcay	4.3889917907655
420	Slc7a1	4.3889829605115
421	Babam2	4.38705536998352
422	Sqstm1	4.38121562975266
423	Cfl2	4.37729937305081
424	Slc3a2	4.37244356586197
425	Iigp1	4.36829498553194
426	Sdcbp2	4.36156158332231
427	Sgms1	4.36126744802816
428	Psmb8	4.36108632602706
429	Elmo2	4.35530582787582
430	Esam	4.35397551803947
431	Frmd8	4.35296357334339
432	Vmp1	4.34942192072432
433	Mlkl	4.34727348006611
434	Jam2	4.34723835260955
435	Snrpa1	4.34536116495801
436	Vwa5a	4.34430495732944
437	Stat3	4.34111028655452
438	Dnah11	4.33172188631101
439	Alk	4.32590061877027
440	Thoc6	4.324347047514
441	Cavin1	4.32154713778482
442	Gabbr2	4.31923554992508
443	Ptp4a1	4.31745364044278
444	Cxcl11	4.31588542527031
445	A830018L16Rik	4.31313928552073
446	Poln	4.31259803141469
447	Adamtsl4	4.31133143496755
448	S1pr1	4.31066495948648
449	Npas3	4.3088161840162
450	Mrpl54	4.30725601055251
451	H2-T3	4.30388753938524
452	Irs2	4.30162960506484
453	Ptrh1	4.30109708929794
454	Otogl	4.29167327802597
455	Gm15867	4.28847950550469
456	Pcdh15	4.2862310324974
457	Fn1	4.28083716167184
458	Ankrd2	4.2800051917442
459	Dusp14	4.27997312916531
460	Ldlrap1	4.27320084096128
461	Gtf2f1	4.2707997476343
462	Faim2	4.26888665053795
463	Cd34	4.2628142744375
464	Lrat	4.26217172111688
465	Rsad2	4.2606510616311
466	Lrrc59	4.25689763059807
467	Ppp1r2	4.25643964472413
468	Hnrnpab	4.25590628860667
469	H2aj	4.25375921403582
470	Cebpb	4.24660651419545
471	Etv4	4.2455905063212
472	Parp9	4.24452965415545
473	Gale	4.2442900529734
474	Vgf	4.23658531065438
475	H2-Q5	4.22724129306347
476	Gne	4.22632369727907
477	Ndfip2	4.22429116329794
478	Bloc1s2	4.21968051671424
479	Nop58	4.21761197477217
480	Dcxr	4.21676139222863
481	Pvr	4.21450825183277
482	Micalcl	4.21118428874885
483	Cfl1	4.2109953055272
484	Adamts1	4.2072424149756
485	Igfn1	4.20683844366565
486	Tatdn1	4.20505854323179
487	Pqlc3	4.2025527791086
488	Timm17a	4.19957212070085
489	Ucp2	4.19955216168253
490	Psd	4.19301212492432
491	Tgif1	4.19170359471964
492	Psmd12	4.18359148227062
493	Tnfaip2	4.17999474296044
494	Isg15	4.17897176603493
495	F830045P16Rik	4.17805106806655
496	Hyal1	4.1770240929163
497	Cltb	4.17686340628303
498	Snx4	4.17141169500548
499	Gars	4.17140824225783
500	Prkx	4.1695994193395
501	Ammecr1	4.1679708139451
502	Sh3gl1	4.16756766103416
503	Rnf17	4.16604169440596
504	Hcfc1r1	4.16528349593972
505	Fosb	4.16337685773893
506	Tpm3	4.16186422048939
507	Terb1	4.16122225552657
508	Nucb2	4.15746162368524
509	Myd88	4.15644015352879
510	Gm32282	4.15424873892078
511	Hmgcs2	4.15093966984384
512	Zbp1	4.13180953860855
513	Ptprn	4.12826922049715
514	Gm1673	4.1235550973533
515	Hdc	4.1185377331865
516	Phox2a	4.11311685400596
517	Unc80	4.11042254915983
518	Myo16	4.11015054438931
519	Lgals9	4.11011542917378
520	Dcaf4	4.10646976251647
521	Cdc42ep3	4.10503797246658
522	Cdhr1	4.10142541492991
523	N4bp3	4.10120662572057
524	Tmem65	4.10065619230707
525	Dpp10	4.09728747654849
526	Cldn1	4.09543756962453
527	Donson	4.09185050719307
528	Dsp	4.08760304553964
529	Fgfbp1	4.08747313364056
530	Rgcc	4.08580762700856
531	Ppp1r14a	4.08423565248063
532	Anxa5	4.08369073021112
533	Hr	4.0810848728354
534	Chodl	4.07812909534468
535	Xirp2	4.07720708252827
536	Polk	4.0740039184555
537	S100a6	4.0718837930242
538	LOC115489488	4.06960620157239
539	Haus2	4.0690858329909
540	Ifit1	4.06687359361282
541	Ccnyl1	4.06523498180734
542	Pgm2	4.06481020888248
543	Myb	4.06469592162405
544	Tspan7	4.05805055601577
545	Gm9968	4.05728548437599
546	Tgtp2	4.05594981615167
547	Sars	4.054883369571
548	Zbtb8os	4.05428324447136
549	Slc10a6	4.05338032436266
550	Exoc5	4.05277651869535
551	Rab32	4.05165354188243
552	Tspo	4.05056604038915
553	Zfp513	4.04958496447889
554	Hyal6	4.0455929990393
555	Aida	4.04263884810535
556	Mest	4.03833893083914
557	Sbno2	4.03732996037579
558	Slc27a6	4.03525897272509
559	Wasl	4.03480298728472
560	Fstl5	4.01816866232445
561	Gsto1	4.01784399579393
562	Inf2	4.01293294933177
563	Gpr50	4.01125445952771
564	2900052L18Rik	4.007252587758
565	Kynu	4.00051324859085
566	Zfp385a	3.99864358535927
567	Slc6a6	3.99503744809887
568	Rras2	3.98879557931188
569	Loxl2	3.98608524731624
570	Gabrb2	3.98497219482362
571	Col13a1	3.98338098119673
572	Arntl	3.98176885134353
573	Dscaml1	3.98155752222818
574	Wls	3.98014773843663
575	Rhog	3.97862208410573
576	Akip1	3.97387095132154
577	Kctd9	3.97017282120858
578	Trdmt1	3.96682725642855
579	Timm23	3.96571002095908
580	AI506816	3.96448052780211
581	Serpinb9	3.96299892931215
582	Psmd11	3.95779291200379
583	Thbd	3.957056083051
584	Man2a1	3.95222339944532
585	Gsdmd	3.95160128016446
586	Rtp4	3.94709160000443
587	Ppp1r15a	3.9416548830072
588	Srxn1	3.94073642979296
589	Eno1	3.92924144591612
590	Rassf1	3.92644506859719
591	Oasl2	3.92422518689484
592	Eif4a1	3.92029569549154
593	H2-Q10	3.91493379314957
594	Gdf5	3.91330470980902
595	Mapk6	3.91280372699074
596	Ttll6	3.91164576413381
597	Tmem251	3.91074630049504
598	Irak1bp1	3.90948782509587
599	Trmt6	3.90940349544963
600	Cirbp	3.9079927428777
601	Myof	3.90486324136978
602	Prkca	3.90169859572396
603	Jund	3.89791819628024
604	Lncpint	3.89060449302615
605	Tmem151b	3.88825152210607
606	Cacna2d4	3.88737108910332
607	Slc41a2	3.88733019048197
608	Socs1	3.88299328964895
609	Ptpn2	3.87894938866996
610	Dapk3	3.87781668816606
611	Klf4	3.87734094877884
612	Emilin1	3.87251238300003
613	Tnni1	3.87170515700915
614	Memo1	3.87058615057045
615	Tcf15	3.87003649747243
616	Clec12b	3.86831705478277
617	Ttc9	3.86733265660865
618	Xkr4	3.86489673366229
619	Ifih1	3.86358717393458
620	H2-DMa	3.85479830834154
621	Gm29686	3.85185546285735
622	A930007A09Rik	3.84887614740816
623	Atf3	3.84704059015821
624	Erfe	3.84523944817701
625	Ptp4a2	3.8448889236672
626	Ddr1	3.84396422382014
627	Ifi30	3.84375523151283
628	Magi1	3.84338453701539
629	Psmb10	3.84337190005673
630	Cxcl12	3.83895994503011
631	Rela	3.83513169093896
632	Slfn4	3.83512253265076
633	Taf4b	3.83420533869678
634	Ppp1r14b	3.83266391456168
635	Cd151	3.83041976275758
636	Csmd1	3.82883692332802
637	Nyap2	3.82682966534566
