x	y
1453	0.414776100614176
1537	0.410449326121542
1538	0.416481063546232
1601	0.413235982676757
1602	0.419162999597658
1662	0.416072446388633
1663	0.421895046739906
1766	0.416589597064414
1767	0.422261893771992
1786	0.421283218589134
1787	0.426932232051736
2057	0.413024742611126
2058	0.418313535498661
2105	0.415892602151592
2106	0.421118772869593
2120	0.420397643787487
2121	0.425602131010509
2134	0.424932511148554
2135	0.430122792597932
2139	0.42991675571733
2140	0.435098681547658
2140	0.435098681547658
2141	0.440280326886773
2206	0.436932227576997
2207	0.442046553102242
2227	0.441016368699234
2228	0.446108674250611
2252	0.444872452967001
2253	0.449918762578885
2321	0.446416135608658
2322	0.451401792498836
2403	0.447229545666653
2404	0.452113032586079
2471	0.448661914836001
2472	0.453465224844145
2502	0.451919948239632
2503	0.456688906611634
2608	0.451280438495841
2609	0.455937354013525
2662	0.453207365345553
2663	0.457807332751715
2771	0.452244336975471
2772	0.45673019379654
2813	0.454618315770374
2814	0.459069665275573
2855	0.456957787249407
2856	0.461373486289221
2898	0.459210099042903
2899	0.463588158849518
3053	0.455655738946355
3054	0.459890320037447
3059	0.459632773936695
3060	0.463863084215568
3143	0.459587818943085
3144	0.463731540669428
3158	0.463010411587322
3159	0.46714306093638
3171	0.466524950294576
3172	0.470643839598129
3282	0.464977825381584
3283	0.469000105013169
3537	0.455916763094965
3538	0.45975001447095
3671	0.452899288190946
3672	0.456609948157715
3835	0.448213945273199
3836	0.451800330497058
3850	0.451079201414952
3851	0.454656345546564
3894	0.452441449080096
3895	0.45598897038994
4194	0.440587713564969
4195	0.443893986204209
4274	0.439824757812327
4275	0.443077230163456
4357	0.438853474111123
4358	0.442044568162564
4419	0.43890250573339
4420	0.44205198486782
4463	0.439837088401353
4464	0.442954368806942
4530	0.439554760277015
4531	0.44262981689
4554	0.441445104826541
4555	0.444498354210864
4661	0.439038376874921
4662	0.442034170775542
4668	0.441725115454639
4669	0.444716850563894
4683	0.443995721481788
4684	0.446980182547005
4689	0.446722636446253
4690	0.449704803819324
4703	0.449035183957369
4704	0.452008044311092
4724	0.450977859908083
4725	0.453938939600735
4734	0.453475356619382
4735	0.456431714993379
4742	0.456071150452326
4743	0.459023714064789
4828	0.454645430352004
4829	0.457552076530531
4913	0.453225302037896
4914	0.456080851049472
4983	0.452526714859094
4984	0.455339217890651
5196	0.444419263218765
5197	0.447100344962671
5211	0.446379215880565
5212	0.449051368025479
5254	0.446887980779162
5255	0.449536439954852
5260	0.4492788938541
5261	0.451922982191065
5303	0.449759594944748
5304	0.452371479954401
5353	0.449847528167031
5354	0.452429017172514
5364	0.45191392497101
5365	0.454488319877602
5370	0.45423077377685
5371	0.456802595036115
5416	0.454484680129346
5417	0.457022448404504
5443	0.455683208680593
5444	0.458206567684263
5493	0.455682615896893
5494	0.458176316412611
5549	0.455343309304338
5550	0.457808017411153
5554	0.457601980530552
5555	0.460062018486948
5624	0.45650788229657
5625	0.458928041900106
5904	0.444556969478142
5905	0.446803606381719
5923	0.445876440419012
5924	0.448111874252297
5963	0.446103014666431
5964	0.448315003338687
5977	0.447645383476732
5978	0.449850887095992
6034	0.44696637076757
6035	0.449137272183764
6099	0.445840682094138
6100	0.447973756497187
6199	0.442874343702296
6200	0.444952848816688
6225	0.443665118312928
6226	0.445730269265131
6273	0.443309335918062
6274	0.445346251750652
6312	0.443388901384937
6313	0.445404124762843
6328	0.444631486460587
6329	0.446639815060236
6376	0.444218881713167
6377	0.446200744351257
6388	0.445634142929603
6389	0.447610983113775
6394	0.447353437013023
6395	0.449329488745139
6396	0.449277979524989
6397	0.45125374662455
6481	0.446926972131915
